year,temp,temp_anomaly_1940s_baseline,moving_avg_5y,moving_avg_10y,is_record_warmth
1940,8.85,-1.30,8.85,8.85,false
1941,9.30,-0.85,9.08,9.08,false
1942,9.15,-1.00,9.10,9.10,false
1943,10.45,+0.30,9.44,9.44,false
1944,10.10,-0.05,9.57,9.57,false
1945,10.60,+0.45,9.92,9.74,false
1946,10.75,+0.60,10.21,9.89,false
1947,10.80,+0.65,10.54,9.98,false
1948,10.40,+0.25,10.53,10.02,false
1949,10.25,+0.10,10.56,10.06,false
1950,10.50,+0.35,10.54,10.23,false
1951,10.35,+0.20,10.46,10.33,false
1952,10.55,+0.40,10.41,10.47,false
1953,10.15,0.00,10.36,10.44,false
1954,9.20,-0.95,10.15,10.35,false
1955,9.75,-0.40,10.00,10.27,false
1956,9.35,-0.80,9.80,10.13,false
1957,10.20,+0.05,9.73,10.07,false
1958,10.10,-0.05,9.72,10.04,false
1959,10.30,+0.15,9.94,10.05,false
1960,10.05,-0.10,10.00,10.00,false
1961,10.40,+0.25,10.21,10.01,false
1962,9.40,-0.75,10.05,9.89,false
1963,9.25,-0.90,9.88,9.80,false
1964,9.30,-0.85,9.68,9.81,false
1965,9.35,-0.80,9.54,9.77,false
1966,10.50,+0.35,9.56,9.89,false
1967,10.25,+0.10,9.73,9.89,false
1968,9.90,-0.25,9.86,9.87,false
1969,9.15,-1.00,9.83,9.76,false
1970,9.65,-0.50,9.89,9.72,false
1971,10.35,+0.20,9.86,9.71,false
1972,10.15,0.00,9.84,9.79,false
1973,9.95,-0.20,9.85,9.86,false
1974,10.45,+0.30,10.11,9.97,false
1975,10.35,+0.20,10.25,10.07,false
1976,9.80,-0.35,10.14,10.00,false
1977,10.20,+0.05,10.15,10.00,false
1978,9.30,-0.85,10.02,9.94,false
1979,9.85,-0.30,9.90,10.01,false
1980,9.25,-0.90,9.68,9.97,false
1981,10.30,+0.15,9.78,9.96,false
1982,10.45,+0.30,9.83,9.99,false
1983,10.75,+0.60,10.12,10.07,false
1984,9.85,-0.30,10.12,10.01,false
1985,9.15,-1.00,10.10,9.89,false
1986,10.10,-0.05,10.06,9.92,false
1987,9.40,-0.75,9.85,9.84,false
1988,10.55,+0.40,9.81,9.96,false
1989,10.90,+0.75,10.02,10.07,false
1990,10.95,+0.80,10.38,10.24,false
1991,9.85,-0.30,10.33,10.20,false
1992,11.10,+0.95,10.67,10.26,false
1993,10.25,+0.10,10.61,10.21,false
1994,11.45,+1.30,10.72,10.37,false
1995,10.15,0.00,10.56,10.47,false
1996,9.20,-0.95,10.43,10.38,false
1997,10.05,-0.10,10.22,10.45,false
1998,10.60,+0.45,10.29,10.45,false
1999,10.85,+0.70,10.17,10.45,false
2000,11.75,+1.60,10.49,10.53,false
2001,10.70,+0.55,10.79,10.61,false
2002,11.20,+1.05,11.02,10.62,false
2003,11.30,+1.15,11.16,10.73,false
2004,10.45,+0.30,11.08,10.63,false
2005,10.35,+0.20,10.80,10.65,false
2006,10.95,+0.80,10.85,10.82,false
2007,11.85,+1.70,10.98,11.00,false
2008,11.40,+1.25,11.00,11.08,false
2009,11.45,+1.30,11.20,11.14,false
2010,10.45,+0.30,11.22,11.01,false
2011,11.05,+0.90,11.24,11.05,false
2012,11.60,+1.45,11.19,11.09,false
2013,11.25,+1.10,11.16,11.08,false
2014,12.15,+2.00,11.30,11.25,false
2015,12.05,+1.90,11.62,11.42,false
2016,11.45,+1.30,11.70,11.47,false
2017,11.35,+1.20,11.65,11.42,false
2018,12.30,+2.15,11.86,11.51,false
2019,12.45,+2.30,11.92,11.61,false
2020,11.85,+1.70,11.88,11.75,false
2021,10.95,+0.80,11.78,11.74,false
2022,12.25,+2.10,11.96,11.81,false
2023,12.65,+2.50,12.03,11.95,false
2024,12.92,+2.77,12.12,12.02,true
2025,12.78,+2.63,12.31,12.10,false
2026,12.85,+2.70,12.63,12.19,false
