year,co2_ppm,grape_harvest_day_of_year,danube_avg_summer_level_cm,extreme_weather_events_count
1940,310.2,295,290,6
1941,310.8,292,310,7
1942,311.3,294,275,5
1943,311.9,286,230,8
1944,312.4,288,280,6
1945,312.9,284,265,7
1946,313.4,281,240,9
1947,314.0,278,210,11
1948,314.5,285,260,7
1949,315.1,286,245,6
1950,315.6,283,235,8
1951,316.2,286,270,7
1952,316.8,276,185,10
1953,317.4,284,190,6
1954,318.0,298,350,12
1955,318.6,291,305,8
1956,319.2,293,280,9
1957,319.8,287,260,7
1958,320.4,289,275,6
1959,321.0,285,230,7
1960,321.6,290,320,8
1961,322.2,283,215,7
1962,322.8,294,255,8
1963,323.4,292,290,9
1964,324.0,295,265,6
1965,324.6,299,395,15
1966,325.2,287,360,11
1967,325.8,285,250,7
1968,326.5,289,235,8
1969,327.1,296,300,9
1970,327.7,293,370,16
1971,328.4,283,205,7
1972,329.1,288,285,8
1973,329.8,287,210,6
1974,330.6,290,355,12
1975,331.4,284,270,7
1976,332.3,286,215,8
1977,333.2,289,295,9
1978,334.2,297,260,7
1979,335.3,291,310,10
1980,336.5,295,280,8
1981,337.8,286,270,7
1982,339.2,281,215,8
1983,340.6,275,175,11
1984,342.1,289,250,7
1985,343.7,292,265,10
1986,345.2,284,230,9
1987,346.8,290,290,12
1988,348.6,282,240,8
1989,350.3,279,200,9
1990,352.1,274,180,11
1991,353.9,284,275,8
1992,355.6,268,155,14
1993,357.1,280,220,9
1994,358.8,266,195,13
1995,360.8,283,290,10
1996,362.6,293,330,11
1997,363.7,285,245,8
1998,366.7,280,345,14
1999,368.4,277,380,17
2000,369.5,261,160,18
2001,371.1,279,290,12
2002,373.2,270,320,16
2003,375.8,259,145,19
2004,377.5,278,300,12
2005,379.8,281,340,18
2006,381.9,269,285,22
2007,383.8,256,260,24
2008,385.6,267,275,19
2009,387.4,263,220,21
2010,389.9,288,460,38
2011,391.7,265,135,15
2012,393.8,254,140,23
2013,396.5,272,370,26
2014,398.6,268,340,28
2015,400.8,252,170,31
2016,404.2,269,325,29
2017,406.6,258,235,33
2018,408.5,246,38,36
2019,411.4,248,240,40
2020,414.2,255,280,37
2021,416.4,262,210,32
2022,418.5,242,85,44
2023,421.1,245,360,48
2024,424.3,238,110,56
2025,426.8,240,135,52
2026,429.2,236,118,54
