year,heat_wave_days_tmax_ge_30,tropical_nights_tmin_ge_20,frost_days_tmin_lt_0,extreme_cold_days_tmin_le_minus_10
1940,8,0,122,24
1941,11,1,116,21
1942,10,0,119,26
1943,18,2,98,12
1944,14,1,102,15
1945,17,2,95,13
1946,22,2,92,10
1947,24,3,94,18
1948,16,1,99,11
1949,15,1,101,12
1950,20,2,96,10
1951,14,1,98,8
1952,26,3,97,12
1953,17,1,104,14
1954,7,0,124,25
1955,11,1,112,17
1956,10,0,121,28
1957,15,1,103,11
1958,13,1,105,12
1959,17,1,100,10
1960,12,0,106,13
1961,18,2,98,9
1962,13,0,118,22
1963,14,1,126,31
1964,9,0,120,20
1965,8,0,117,16
1966,13,1,93,8
1967,16,1,102,12
1968,14,1,108,14
1969,10,0,123,24
1970,9,0,114,15
1971,19,2,98,10
1972,14,1,105,12
1973,15,1,109,13
1974,11,1,92,7
1975,16,2,95,8
1976,18,1,111,14
1977,12,1,101,10
1978,8,0,118,18
1979,14,1,113,19
1980,9,0,121,20
1981,15,1,104,11
1982,20,2,99,10
1983,27,4,92,7
1984,11,1,110,13
1985,13,1,125,29
1986,17,2,107,16
1987,14,1,122,27
1988,18,2,94,8
1989,19,2,88,6
1990,24,3,89,7
1991,16,2,108,14
1992,34,6,86,6
1993,18,3,105,13
1994,32,7,78,4
1995,17,2,103,11
1996,12,1,121,22
1997,16,2,106,12
1998,21,3,89,6
1999,23,4,91,7
2000,35,8,81,5
2001,20,4,94,8
2002,26,6,84,6
2003,38,9,96,10
2004,18,3,92,7
2005,19,4,99,9
2006,28,7,91,11
2007,39,12,68,3
2008,25,8,73,4
2009,29,9,82,7
2010,19,5,95,8
2011,27,7,88,6
2012,37,11,85,14
2013,26,8,80,5
2014,22,8,54,2
2015,41,14,66,3
2016,24,9,74,4
2017,34,12,82,12
2018,38,15,61,3
2019,42,17,58,2
2020,28,12,55,1
2021,33,14,76,4
2022,46,22,60,1
2023,39,18,52,0
2024,51,26,48,0
2025,47,24,51,0
2026,49,25,49,0
