month_key,year,month,month_name,temp,temp_anomaly,precipitation_mm,heat_wave_days,tropical_nights,frost_days,note
2020-01,2020,1,Jan,0.2,+1.5,18,0,0,20,""
2020-02,2020,2,Feb,5.2,+4.2,48,0,0,8,""
2020-03,2020,3,Már,7.1,+1.2,25,0,0,10,""
2020-04,2020,4,Ápr,11.2,+0.3,12,0,0,3,""
2020-05,2020,5,Máj,14.8,-1.0,74,0,0,0,""
2020-06,2020,6,Jún,20.1,+0.7,104,5,1,0,""
2020-07,2020,7,Júl,21.8,+0.6,62,10,3,0,""
2020-08,2020,8,Aug,22.4,+1.6,68,12,4,0,""
2020-09,2020,9,Sze,17.2,+1.2,45,4,1,0,""
2020-10,2020,10,Okt,12.0,+1.4,88,0,0,1,""
2020-11,2020,11,Nov,5.4,+0.3,19,0,0,10,""
2020-12,2020,12,Dec,3.2,+2.8,56,0,0,16,""
2021-01,2021,1,Jan,1.1,+2.4,62,0,0,18,""
2021-02,2021,2,Feb,2.8,+1.8,31,0,0,14,""
2021-03,2021,3,Már,4.9,-1.0,18,0,0,15,""
2021-04,2021,4,Ápr,8.6,-2.3,32,0,0,6,"Rendkívül hideg április"
2021-05,2021,5,Máj,14.1,-1.7,66,0,0,0,""
2021-06,2021,6,Jún,21.8,+2.4,34,9,3,0,""
2021-07,2021,7,Júl,23.4,+2.2,58,13,5,0,""
2021-08,2021,8,Aug,20.8,0.0,46,6,2,0,""
2021-09,2021,9,Sze,15.8,-0.2,28,0,0,1,""
2021-10,2021,10,Okt,9.8,-0.8,22,0,0,6,""
2021-11,2021,11,Nov,5.6,+0.5,70,0,0,8,""
2021-12,2021,12,Dec,1.8,+1.4,71,0,0,15,""
2022-01,2022,1,Jan,0.8,+2.1,14,0,0,19,""
2022-02,2022,2,Feb,4.5,+3.5,12,0,0,10,""
2022-03,2022,3,Már,5.6,-0.3,4,0,0,14,"Extrém száraz március (4 mm)"
2022-04,2022,4,Ápr,9.9,-1.0,38,0,0,3,""
2022-05,2022,5,Máj,17.6,+1.8,42,2,0,0,""
2022-06,2022,6,Jún,22.8,+3.4,31,14,5,0,""
2022-07,2022,7,Júl,24.6,+3.4,22,18,9,0,"Történelmi aszálycsúcs"
2022-08,2022,8,Aug,24.1,+3.3,56,14,7,0,""
2022-09,2022,9,Sze,15.4,-0.6,89,0,0,0,""
2022-10,2022,10,Okt,12.4,+1.8,24,0,0,2,""
2022-11,2022,11,Nov,6.8,+1.7,48,0,0,5,""
2022-12,2022,12,Dec,2.1,+1.7,68,0,0,12,""
2023-01,2023,1,Jan,3.2,+4.5,82,0,0,12,"Rendkívül enyhe január"
2023-02,2023,2,Feb,2.4,+1.4,24,0,0,14,""
2023-03,2023,3,Már,7.8,+1.9,41,0,0,8,""
2023-04,2023,4,Ápr,9.8,-1.1,56,0,0,4,""
2023-05,2023,5,Máj,16.2,+0.4,72,0,0,0,""
2023-06,2023,6,Jún,20.8,+1.4,88,7,2,0,""
2023-07,2023,7,Júl,23.8,+2.6,52,16,8,0,""
2023-08,2023,8,Aug,23.9,+3.1,64,15,7,0,""
2023-09,2023,9,Sze,19.5,+3.5,32,7,2,0,"Minden idők legmelegebb szeptembere"
2023-10,2023,10,Okt,13.9,+3.3,62,0,0,0,""
2023-11,2023,11,Nov,6.9,+1.8,92,0,0,5,""
2023-12,2023,12,Dec,3.4,+3.0,70,0,0,9,""
2024-01,2024,1,Jan,1.8,+3.1,38,0,0,16,""
2024-02,2024,2,Feb,8.2,+7.2,54,0,0,2,"Abszolút februári melegrekord (+7.2°C)"
2024-03,2024,3,Már,9.6,+3.7,28,0,0,3,""
2024-04,2024,4,Ápr,13.5,+2.6,44,1,0,2,""
2024-05,2024,5,Máj,17.8,+2.0,60,2,0,0,""
2024-06,2024,6,Jún,22.9,+3.5,55,13,6,0,""
2024-07,2024,7,Júl,25.5,+4.3,32,21,12,0,"Minden idők legforróbb júliusa"
2024-08,2024,8,Aug,25.1,+4.3,29,19,10,0,"Rekord kánikula és korai szüret"
2024-09,2024,9,Sze,18.2,+2.2,82,3,1,0,""
2024-10,2024,10,Okt,12.1,+1.5,48,0,0,3,""
2024-11,2024,11,Nov,5.8,+0.7,35,0,0,10,""
2024-12,2024,12,Dec,2.4,+2.0,50,0,0,12,""
2025-01,2025,1,Jan,1.2,+2.5,42,0,0,17,""
2025-02,2025,2,Feb,5.4,+4.4,36,0,0,7,""
2025-03,2025,3,Már,8.8,+2.9,34,0,0,5,""
2025-04,2025,4,Ápr,12.8,+1.9,48,0,0,2,""
2025-05,2025,5,Máj,17.5,+1.7,64,1,0,0,""
2025-06,2025,6,Jún,22.4,+3.0,52,11,5,0,""
2025-07,2025,7,Júl,25.1,+3.9,45,19,11,0,""
2025-08,2025,8,Aug,24.8,+4.0,38,17,8,0,""
2025-09,2025,9,Sze,17.9,+1.9,62,2,0,0,""
2025-10,2025,10,Okt,11.8,+1.2,50,0,0,3,""
2025-11,2025,11,Nov,5.6,+0.5,49,0,0,9,""
2025-12,2025,12,Dec,2.2,+1.8,60,0,0,14,""
2026-01,2026,1,Jan,1.9,+3.2,38,0,0,15,"Enyhe télkezdet, kevés hótakaró"
2026-02,2026,2,Feb,6.2,+5.2,44,0,0,6,"Kora tavaszias február"
2026-03,2026,3,Már,9.1,+3.2,31,0,0,4,""
2026-04,2026,4,Ápr,13.4,+2.5,42,0,0,1,""
2026-05,2026,5,Máj,18.2,+2.4,56,3,0,0,""
2026-06,2026,6,Jún,22.8,+3.4,46,12,6,0,""
2026-07,2026,7,Júl,25.6,+4.4,33,20,11,0,"Tartós harmadfokú hőségriasztás"
2026-08,2026,8,Aug,25.2,+4.4,26,18,9,0,"Augusztusi szüretkezdet Tokajban"
2026-09,2026,9,Sze,18.5,+2.5,28,2,1,0,"2026-09 aktuális időszak lezárása"
