year,winter_temp,spring_temp,summer_temp,autumn_temp
1940,-3.8,8.4,18.4,8.9
1941,-2.9,8.9,18.9,9.4
1942,-4.2,8.6,19.1,9.2
1943,-0.8,10.2,20.4,10.1
1944,-1.1,9.7,19.8,9.9
1945,-1.4,10.5,20.5,10.4
1946,-0.6,10.8,21.1,10.6
1947,-3.5,10.6,21.6,11.2
1948,-0.9,10.1,20.2,10.3
1949,-1.0,10.0,20.0,10.1
1950,-0.8,10.4,20.8,10.3
1951,0.2,10.1,20.1,9.9
1952,-0.5,10.3,21.4,10.2
1953,-1.2,9.8,20.1,10.0
1954,-4.5,8.8,18.7,9.1
1955,-2.3,9.2,19.2,9.4
1956,-4.8,8.9,19.0,9.3
1957,-0.7,10.1,19.9,9.8
1958,-0.9,9.8,19.8,9.7
1959,-0.8,10.2,20.3,10.0
1960,-1.1,9.9,19.6,9.8
1961,-0.4,10.3,20.2,10.1
1962,-3.2,9.0,19.4,9.3
1963,-5.2,8.8,19.9,9.5
1964,-3.8,8.9,19.1,9.1
1965,-2.5,8.7,18.8,9.2
1966,0.4,10.3,20.1,10.0
1967,-1.0,10.2,20.3,9.9
1968,-1.9,9.6,19.8,9.6
1969,-4.3,8.6,19.2,9.1
1970,-2.1,9.0,19.4,9.5
1971,-0.2,10.1,20.4,9.8
1972,-1.0,10.0,19.9,9.7
1973,-1.6,9.7,19.8,9.5
1974,0.6,10.2,19.7,9.9
1975,0.3,10.1,20.3,9.8
1976,-2.0,9.4,20.2,9.2
1977,-0.4,10.0,19.8,9.9
1978,-2.8,9.0,19.0,9.1
1979,-3.1,9.5,20.0,9.6
1980,-3.5,8.8,19.1,9.2
1981,-0.8,10.2,20.2,9.9
1982,-0.5,10.1,20.7,10.2
1983,0.8,10.5,21.6,10.0
1984,-1.7,9.6,19.5,9.7
1985,-5.4,9.0,19.7,9.3
1986,-2.8,10.2,20.3,9.9
1987,-5.1,8.7,20.1,9.5
1988,0.5,10.4,20.4,10.2
1989,1.4,11.2,20.5,10.1
1990,0.9,11.1,21.0,10.4
1991,-1.8,9.5,20.6,9.6
1992,0.2,10.8,22.4,10.4
1993,-2.1,10.1,20.7,9.8
1994,1.8,11.5,22.2,10.5
1995,-0.4,9.9,20.6,9.9
1996,-4.0,8.8,19.8,9.4
1997,-1.6,9.8,20.3,9.9
1998,1.2,10.7,20.9,10.0
1999,0.2,10.9,21.2,10.4
2000,0.7,12.4,22.3,11.2
2001,0.5,10.6,21.1,10.2
2002,1.1,11.3,21.8,10.6
2003,-1.2,10.8,23.2,10.1
2004,-0.1,10.1,20.7,10.4
2005,-1.5,9.8,20.8,10.3
2006,-1.9,10.4,22.1,11.4
2007,3.5,12.0,22.9,9.9
2008,2.2,11.1,21.8,11.1
2009,0.1,11.9,22.2,11.3
2010,-0.6,10.0,21.0,9.9
2011,0.3,11.0,21.6,10.1
2012,-1.8,11.6,23.4,11.3
2013,0.8,10.3,22.2,11.2
2014,3.2,12.4,21.6,12.2
2015,2.1,11.7,23.6,11.2
2016,2.3,11.2,21.9,10.7
2017,-2.7,11.8,22.8,11.3
2018,1.2,13.2,23.1,12.4
2019,1.8,11.9,23.5,12.8
2020,3.1,11.0,22.3,11.8
2021,1.6,9.7,22.7,10.8
2022,2.4,11.3,23.9,11.7
2023,3.3,11.2,23.2,13.1
2024,3.9,12.9,24.5,12.6
2025,3.5,12.5,24.1,12.3
2026,3.7,13.1,24.4,12.5
