year,precipitation_mm,precipitation_anomaly_pct,drought_index_pai,drought_category
1940,645,+8.4,3.2,Normál
1941,680,+14.3,3.0,Csapadékos év
1942,585,-1.7,3.6,Normál
1943,512,-14.0,4.8,Mérsékelt
1944,642,+7.9,3.4,Normál
1945,608,+2.2,3.7,Normál
1946,565,-5.0,4.5,Mérsékelt
1947,480,-19.3,5.9,Közepes
1948,595,0.0,3.5,Normál
1949,545,-8.4,4.2,Mérsékelt
1950,530,-10.9,4.6,Mérsékelt
1951,615,+3.4,3.4,Normál
1952,435,-26.9,7.2,Súlyos
1953,440,-26.1,6.8,Súlyos
1954,710,+19.3,2.8,Csapadékos év
1955,660,+10.9,3.1,Csapadékos év
1956,590,-0.8,3.5,Normál
1957,575,-3.4,3.8,Normál
1958,610,+2.5,3.4,Normál
1959,520,-12.6,4.6,Mérsékelt
1960,685,+15.1,2.9,Csapadékos év
1961,495,-16.8,5.1,Közepes
1962,560,-5.9,3.8,Normál
1963,615,+3.4,3.3,Normál
1964,580,-2.5,3.6,Normál
1965,810,+36.1,2.1,Csapadékos év
1966,740,+24.4,2.4,Csapadékos év
1967,540,-9.2,4.1,Mérsékelt
1968,510,-14.3,4.7,Mérsékelt
1969,640,+7.6,3.2,Normál
1970,765,+28.6,2.2,Csapadékos év
1971,460,-22.7,5.7,Közepes
1972,620,+4.2,3.3,Normál
1973,490,-17.6,5.3,Közepes
1974,750,+26.1,2.3,Csapadékos év
1975,580,-2.5,3.7,Normál
1976,485,-18.5,5.5,Közepes
1977,640,+7.6,3.2,Normál
1978,570,-4.2,3.8,Normál
1979,670,+12.6,3.0,Csapadékos év
1980,610,+2.5,3.3,Normál
1981,590,-0.8,3.6,Normál
1982,480,-19.3,5.6,Közepes
1983,420,-29.4,7.4,Súlyos
1984,560,-5.9,4.0,Normál
1985,580,-2.5,3.7,Normál
1986,520,-12.6,4.8,Mérsékelt
1987,630,+5.9,3.2,Normál
1988,535,-10.1,4.5,Mérsékelt
1989,470,-21.0,5.8,Közepes
1990,440,-26.1,6.9,Súlyos
1991,605,+1.7,3.5,Normál
1992,410,-31.1,8.2,Extrém aszály
1993,515,-13.4,4.9,Mérsékelt
1994,485,-18.5,6.2,Súlyos
1995,640,+7.6,3.3,Normál
1996,695,+16.8,2.8,Csapadékos év
1997,535,-10.1,4.4,Mérsékelt
1998,720,+21.0,2.5,Csapadékos év
1999,785,+31.9,2.1,Csapadékos év
2000,415,-30.3,8.5,Extrém aszály
2001,625,+5.0,3.3,Normál
2002,590,-0.8,3.6,Normál
2003,455,-23.5,7.6,Súlyos
2004,645,+8.4,3.2,Normál
2005,710,+19.3,2.7,Csapadékos év
2006,580,-2.5,4.1,Normál
2007,615,+3.4,4.5,Mérsékelt
2008,605,+1.7,3.6,Normál
2009,525,-11.8,4.7,Mérsékelt
2010,959,+61.2,1.2,Csapadékos év
2011,408,-31.4,8.4,Extrém aszály
2012,450,-24.4,8.1,Extrém aszály
2013,670,+12.6,3.1,Csapadékos év
2014,730,+22.7,2.4,Csapadékos év
2015,540,-9.2,5.2,Közepes
2016,715,+20.2,2.6,Csapadékos év
2017,605,+1.7,4.2,Normál
2018,550,-7.6,5.4,Közepes
2019,600,+0.8,4.0,Normál
2020,640,+7.6,3.4,Normál
2021,510,-14.3,5.6,Közepes
2022,448,-24.7,8.9,Extrém aszály
2023,765,+28.6,2.3,Csapadékos év
2024,565,-5.0,6.5,Súlyos
2025,580,-2.5,5.7,Közepes
2026,512,-14.0,6.3,Súlyos
